"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-11","15.66"," 1605"," 0514","0.00","0.0","  330","  350","23.0","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-12","13.42"," 0258"," 0947","0.00","0.0","  320","  320","19.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-13","12.08"," 2213"," 2212","0.00","0.0","  300","  280","21.0","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-14","17.45"," 1425"," 2124","0.00","0.0","  290","  270","25.9","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-15","13.20"," 0045"," 1152","0.00","0.0","  270","  280","25.1","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-16","12.08"," 1629"," 1625","0.65","5.3","   20","   20","29.1","34.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-17","12.97"," 0050"," 0157","0.00","0.0","  300","  330","23.0","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-18","15.43"," 2206"," 2205","0.00","0.0","  270","  280","30.0","38.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-19","17.45"," 1256"," 0538","0.00","0.0","  300","  220","29.1","40.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-20","14.09"," 1831"," 1858","0.00","0.0","  280","  300","23.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-21","14.09"," 1014"," 1034","0.00","0.0","  290","  290","23.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-22","10.07"," 0739"," 0415","0.00","0.0","  320","  310","19.9","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-23","13.42"," 2350"," 2129","0.00","0.0","   70","   90","21.9","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-24","17.00"," 0247"," 1322","1.12","0.0","   70","   80","25.9","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-25","17.22"," 2243"," 2247","1.28","0.0","   70","   90","47.0","59.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-26","17.45"," 0041"," 0039","0.03","0.0","  150","  150","33.1","40.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-27","7.61"," 1013"," 1012","0.04","0.1","  180","  180","17.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-28","8.50"," 2317"," 2316","0.00","0.0","  320","  320","25.9","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-01","19.69"," 0943"," 0943","0.31","0.2","  320","  320","29.1","38.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-02","8.50"," 1315"," 1154","0.00","0.0","  100","   90","14.1","16.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-03","17.45"," 1653"," 1354","0.02","0.0","   30","   30","30.0","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-04","13.42"," 0925"," 0304","0.06","0.0","   10","  360","23.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-05","12.30"," 1039"," 1038","0.00","0.0","   40","   40","23.9","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-06","10.07"," 1637"," 1637","0.00","0.0","  300","  300","17.9","23.9"
