"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-06","10.74"," 2324","0.00","   40","   10","21.0","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-07","9.40"," 1521","0.00","  290","  300","19.9","29.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-08","11.63"," 0907","0.00","  280","  280","21.9","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-09","5.14"," 0856","0.00","  300","  300","15.0","21.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-10","10.96"," 1907","0.54","   30","   20","25.1","40.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-11","6.49"," 0005","0.00","  360","  340","21.0","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-12","7.38"," 1249","0.00","  290","  280","17.0","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-13","6.26"," 2322","0.00","  290","  270","15.0","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-14","13.87"," 2143","0.00","  270","  290","25.1","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-15","10.07"," 0022","0.00","  270","  260","25.9","36.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-16","6.26"," 2027","0.14","  310","  320","14.1","23.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-17","9.17"," 1440","0.00","  250","  250","17.0","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-18","13.20"," 2159","0.00","  280","  280","23.0","31.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-19","13.20"," 1151","0.00","  280","  320","23.9","36.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-20","9.40"," 1534","0.00","  280","  270","17.0","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-21","8.50"," 1029","0.00","  290","  300","21.0","30.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-22","4.70"," 1245","0.00","   50","   40","15.0","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-23","8.28"," 2358","0.38","   50","   60","17.0","21.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-24","11.63"," 1355","1.40","  100","  120","21.9","36.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-25","9.84"," 2314","1.48","  180","  180","30.0","40.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-26","12.75"," 0015","0.02","  170","  170","31.1","40.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-27","6.71"," 1136","0.02","  200","  210","14.1","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-02-28","5.14"," 2312","0.00","  310","  300","17.0","31.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-01","11.41"," 1332","0.26","  300","   10","21.0","35.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-02","4.70"," 1208","0.00","   40","   50","14.1","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-03","11.18"," 1144","0.10","   30","   50","25.1","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-04","8.05"," 1103","0.10","   10","  350","16.1","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-05","6.93"," 1350","0.02","   40","   10","16.1","25.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-06","5.14"," 1102","0.00","   40","   10","13.0","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-07","6.93"," 1557","0.00","  280","  270","16.1","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-08","7.61"," 1658","0.00","  290","  290","19.9","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-09","5.37"," 1118","0.00","  280","  280","16.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-10","2.91"," 1631","0.00","  150","  150","13.0","15.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-11","4.03"," 1031","0.01","  120","  120","13.0","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-12","10.74"," 1540","0.00","   50","   50","18.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-13","15.88"," 2338","2.04","   60","   40","31.1","42.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-14","16.11"," 0439","1.85","   90","  100","32.0","46.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-15","13.65"," 1455","0.77","   20","   30","23.0","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-16","8.05"," 0055","0.00","   30","   40","21.9","32.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-17","4.70"," 1535","0.00","  220","  210","17.0","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-18","7.83"," 1243","0.00","  260","  240","23.0","30.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-19","4.47"," 1319","0.00","  200","  210","18.1","23.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-20","5.59"," 1648","0.00","  230","  230","18.1","29.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-21","5.37"," 0734","0.00","   60","   60","13.0","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-22","3.80"," 1847","0.17","   40","   40","10.1","14.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-23","8.72"," 0355","2.06","  140","  150","21.0","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-24","12.08"," 0954","0.00","  290","  290","25.1","35.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-25","10.74"," 1331","0.00","  210","  220","21.9","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-26","9.84"," 1329","0.18","   30","   40","21.0","32.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-27","7.61"," 0741","0.00","   40","   40","18.1","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-28","9.62"," 2241","0.00","  160","  160","19.9","25.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-29","14.76"," 0554","2.31","  160","  150","25.9","36.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-30","10.51"," 1329","2.29","  110","  110","23.9","35.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-03-31","6.49"," 1319","0.00","  180","   30","16.1","18.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-04-01","4.92"," 1018","0.00","   30","   30","17.0","23.0"
