"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-13",,,,"0.00","  290","  290","12.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-14",,,,"0.00","  290","  290","19.9","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-15",,,,"0.12","  220","  330","8.9","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-16",,,,"0.01","  290","  290","15.0","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-17",,,,"0.00","  280","  290","12.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-18",,,,"0.00","   40","  300","12.1","29.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-19",,,,"0.00","  290","  290","16.1","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-20",,,,"0.00","  280","  290","11.0","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-21",,,,"0.00","  290","  290","10.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-22",,,,"0.19","   70","   70","12.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-23",,,,"1.10",,"   30",,"28.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-24",,,,"0.22","  320","  320","10.1","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-25",,,,"1.10","  290","  280","25.9","40.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-26",,,,"0.00","  320","  280","21.9","48.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-27",,,,"0.00","  270","  280","12.1","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-28",,,,"0.00","  290","  330","6.9","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-01",,,,"0.00","  320","  320","14.1","36.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-02",,,,"0.00","   60","   60","11.0","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-03",,,,"0.35","   40","   40","21.9","45.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-04",,,,"0.00","  320","  330","10.1","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-05",,,,"0.00","  330","  330","8.9","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-06",,,,"0.00","  330","  330","8.9","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-07",,,,"0.00","  260","  330","8.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-08",,,,"0.00","  270","  280","8.9","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-09",,,,"0.00","  220","  250","11.0","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-10",,,,"0.00","   80","   80","6.9","12.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-11",,,,"0.00","   50","   50","8.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-12",,,,"0.58","   70","   70","21.0","36.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-13",,,,"2.05","   80","   90","55.0","66.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-14",,,,"0.57","   40","   40","15.0","29.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-15",,,,"0.70","   30","   30","18.1","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-16",,,,"0.00","   30","   40","15.0","30.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-17",,,,"0.00","  230","  230","8.9","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-18",,,,"0.00","  230","  200","10.1","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-19",,,,"0.00","  230","  230","10.1","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-20",,,,"0.00","  230","  230","10.1","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-21",,,,"0.00","  220","  210","13.0","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-22",,,,"0.82","  150","  150","15.0","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-23",,,,"0.25","  290","  290","12.1","30.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-24",,,,"0.00","  320","  290","13.0","30.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-25",,,,"0.05","  230","  220","19.0","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-26",,,,"0.82","   30","   30","18.1","34.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-27",,,,"0.00","   70","   70","12.1","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-28",,,,"0.07","  150","  150","19.0","34.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-29",,,,"2.85","  180","  180","16.1","31.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-30",,,,"0.28","  290","  290","15.0","30.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-03-31",,,,"0.02","  320","  320","12.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-01",,,,"0.00","  120","  150","8.9","13.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-02",,,,"0.00","  150","  200","8.1","12.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-03",,,,"0.00","  230","  200","10.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-04",,,,"0.00","  220","  220","10.1","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-05",,,,"0.00","  170","  170","13.0","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-06",,,,"0.00","  230","  230","13.0","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-07",,,,"0.00","  230","  230","15.0","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-08",,,,"0.00","  210","  210","17.0","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-09",,,,"0.28","  290","  300","12.1","34.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-10",,,,"0.00","  290","  290","11.0","27.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-11",,,,"0.00","  220","  210","11.0","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-12",,,,"0.00","   60","   60","10.1","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-13",,,,"0.01","   40","   40","10.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-14",,,,"0.00","  230","  220","12.1","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-15",,,,"0.00","  270","  270","11.0","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-16",,,,"0.21","   90","   40","12.1","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-17",,,,"0.00","  330","  330","13.0","28.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-18",,,,"0.00","  290","  300","8.9","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-19",,,,"0.00","  320","  320","8.9","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-20",,,,"0.00","  220","  220","13.0","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-21",,,,"0.05","  230","  250","11.0","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-22",,,,"0.01","  310","  310","8.9","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-23",,,,"0.00","  320","  320","8.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-24",,,,"0.00","   90","   70","10.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-25",,,,"0.77","   80","  320","14.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-26",,,,"0.06","   70","   40","11.0","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-27",,,,"0.00","  320","  320","14.1","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-28",,,,"0.00","  290","  310","12.1","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-29",,,,"0.00","  280","  280","16.1","34.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-04-30",,,,"0.00","  230","  230","11.0","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-01",,,,"0.00","  230","  230","13.0","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-02",,,,"0.00","  230","  220","23.0","27.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-03",,,,"0.00","  230","  220","21.9","28.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-04",,,,"0.00","  280","  290","14.1","30.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-05",,,,"0.01","  170","  170","13.0","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-06",,,,"0.04","  280","  320","17.9","36.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-07",,,,"0.00","  190","  200","10.1","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-08",,,,"0.01","  290","  290","25.1","42.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-09",,,,"0.00","  300","  300","14.1","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-10",,,,"0.00","  320","  310","10.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-11",,,,"0.01","  150","  150","12.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-12",,,,"0.51","  150","   40","14.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-13",,,,"0.00","  230","  230","11.0","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-14",,,,"0.59","  230","  230","14.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-15",,,,"0.00","  320","  320","12.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-16",,,,"0.00","  170","  160","8.9","15.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-17",,,,"0.06","   90","   90","11.0","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-18",,,,"1.97","   70","   90","21.0","29.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-19",,,,"0.00","  320","  320","8.9","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-20",,,,"0.00","  230","  230","10.1","15.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-21",,,,"0.00","  120","  220","8.1","12.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-22",,,,"0.00","  150","  130","8.1","14.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-23",,,,"0.06","   80","   50","12.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-24",,,,"0.01","   30","   40","8.9","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-25",,,,"0.00","   90","   90","8.1","12.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-26",,,,"0.00","  230","  230","12.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-27",,,,"0.00","   70","   60","21.9","31.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-28",,,,"0.00","  160","  160","16.1","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-29",,,,"0.14","  180","  200","10.1","14.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-30",,,,"0.00","   90","   90","8.1","14.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-05-31",,,,"0.00","  180","  270","15.0","30.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-01",,,,"0.00","  270","  270","19.9","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-02",,,,"0.00","  190","  190","13.0","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-03",,,,"0.00","  190","  190","15.0","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-04",,,,"0.00","  190","  190","12.1","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-05",,,,"0.00","  240","  230","15.0","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-06",,,,"0.00","  340","  340","21.9","31.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-07",,,,"0.00","  320","  320","21.0","31.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-08",,,,"0.00","  320","  320","8.9","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-09",,,,"0.20","  170","  170","15.0","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-10",,,,"0.00","  220","  200","11.0","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-11",,,,"0.00","  100","  120","12.1","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-12",,,,"0.00","  210","  210","17.0","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-13",,,,"0.07","   30","   40","11.0","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-14",,,,"0.00","  200","  200","8.9","16.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-15",,,,"0.00","   90","   50","15.0","28.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-16",,,,"0.07","  230","  220","14.1","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-17",,,,"0.00","  290","  310","13.0","28.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-18",,,,"0.00","  150","  320","8.9","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-19",,,,"0.00","  190","  190","14.1","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-20",,,,"0.00","  220","  230","16.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-21",,,,"0.00","  220","  220","12.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-22",,,,"0.01","  230","  230","14.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-23",,,,"0.00","  250","  240","13.0","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-24",,,,"1.24","  230","  350","11.0","46.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-25",,,,"0.00","  160","  290","12.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-26",,,,"0.00","  220","  220","12.1","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-27",,,,"0.00","  240","  210","14.1","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-06-28",,,,"0.02","  230","  230","14.1","23.0"
