"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-09","4.47"," 1014","0.00","  330","  340","14.1","19.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-10","15.66"," 2025","0.07","   10","  360","33.1","42.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-11","12.75"," 0014","0.00","  350","  350","25.1","40.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-12","7.61"," 0046","0.00","  320","  310","18.1","31.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-13","8.50"," 2056","0.00","  310","  320","16.1","28.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-14","7.16"," 1533","0.00","  280","  300","16.1","25.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-15","6.26"," 0808","0.00","  280","  230","15.0","23.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-16","8.05"," 2150","0.45","  320","  320","14.1","21.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-17","5.82"," 0000","0.00","  230","  300","10.1","18.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-18","7.38"," 1509","0.00","  290","  310","16.1","25.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-19","8.72"," 1408","0.00","  300","  310","18.1","29.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-20","7.38"," 1500","0.00","  320","  300","14.1","21.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-21","8.28"," 1607","0.00","  320","  330","18.1","30.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-22","6.93"," 1108","0.00","   20","   20","15.0","18.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-23","9.17"," 1924","0.63","   80","   20","16.1","21.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-24","9.84"," 1723","1.80","   10","  360","17.0","21.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-25","8.05"," 1940","1.95","  360","   10","19.9","25.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-26","10.74"," 0405","0.26","  170","  170","25.1","31.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-27","5.82"," 0723","0.00","  160","  210","10.1","14.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-02-28","5.82"," 2243","0.00","  320","  320","13.0","21.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-01","13.65"," 1118","0.00","  340","  330","25.1","38.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-02","6.49"," 0332","0.00","   10","  350","12.1","15.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-03","12.30"," 1354","0.07","   20","   10","25.9","35.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-03-04","9.40"," 0935","0.00","  350","   10","18.1","23.9"
