"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-06","9.62"," 1946"," 1956","0.00","0.0","0.0","  360","  360","17.9","23.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-07","11.41"," 1219"," 1604","0.00","0.0","0.0","  320","  310","25.1","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-08","10.51"," 1350"," 1340","0.00","0.0","0.0","  350","  320","21.9","25.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-09","6.26"," 0634"," 0634","0.00","0.0","0.0","  310","  310","14.1","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-10","10.74"," 2306"," 2305","0.00","0.0","0.0","   20","   30","23.0","32.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-11","14.09"," 0144"," 0408","0.00","0.0","0.0","  360","   10","23.9","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-12","7.83"," 0023"," 0022","0.00","0.0","0.0","  270","  220","17.9","28.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-13","7.38"," 1352"," 1558","0.00","0.0","0.0","  340","   80","15.0","25.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-14","8.72"," 1417"," 1332","0.00","0.0","0.0","  320","  280","23.0","29.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-15","7.61"," 1207"," 1014","0.00","0.0","0.0","  280","  290","17.9","23.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-16","6.26"," 1525"," 1901","0.06","1.5","0.0","   50","  360","16.1","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-17","7.38"," 1521"," 1521","0.00","0.0","2.0","  210","  210","29.1","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-18","10.96"," 1707"," 1706","0.00","0.0","0.0","  310","  330","23.9","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-19","10.51"," 2157"," 2137","0.00","0.0","0.0","  310","  320","21.0","28.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-20","10.07"," 0521"," 1938","0.00","0.0","0.0","  310","  320","17.9","25.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-21","9.40"," 1101"," 1509","0.00","0.0","0.0","  350","  360","23.0","29.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-22","10.07"," 0557"," 0551","0.00","0.0","0.0","  320","  310","21.0","29.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-23","9.62"," 2129"," 0628","0.00","0.0","0.0","   80","  330","19.9","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-24","19.24"," 2303"," 2204","1.38","0.0","0.0","   70","   60","28.0","38.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-25","24.16"," 2305"," 2334","3.83","0.0","0.0","   60","   40","40.0","66.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-26","12.30"," 2353"," 2353","0.54","0.0","0.0","   60","   60","40.0","57.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-27","5.82"," 1255"," 1234","0.33","1.6","1.0","  160","  160","17.9","23.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-02-28","7.61"," 2353"," 2352","0.09","0.0","2.0","  340","  330","19.9","28.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-01","17.22"," 1353"," 1350","0.38","0.0","0.0","  360","  360","29.1","36.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-02","6.04"," 0854"," 0823","0.00","0.0","0.0","   10","  220","14.1","23.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-03","10.29"," 1446"," 2043","0.00","0.0","0.0","   50","   10","19.9","25.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-04","18.12"," 2038"," 2043","0.00","0.0","0.0","   10","   20","29.1","36.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-05","13.65"," 1505"," 0107","0.00","0.0","0.0","  360","   20","23.9","32.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-06","8.05"," 1501"," 1656","0.00","0.0","0.0","  340","  360","19.9","30.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-07","2.91"," 1449"," 1448","0.00","0.0","0.0","  160","  170","13.0","15.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-08","8.05"," 1659"," 1630","0.00","0.0","0.0","  300","  300","21.0","25.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-09","6.49"," 1220"," 1715","0.00","0.0","0.0","  330","  350","21.0","31.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-10","4.03"," 1500"," 1344","0.00","0.0","0.0","  180","  170","14.1","17.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-11","3.58"," 1137",,"0.00","0.0","0.0","   80",,"12.1",
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-12","4.70"," 1735",,"0.00","0.0","0.0","  100",,"8.1",
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-13","14.09"," 2135"," 2142","0.00","0.0","0.0","   80","   70","25.9","36.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-14","22.37"," 1435"," 1434","2.27","0.0","0.0","   60","   60","31.1","45.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-15","14.76"," 1526"," 1528","0.92","0.0","0.0","   70","   60","29.1","38.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-16","6.49"," 0823"," 0815","0.00","0.0","0.0","  360","  360","15.0","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-17","6.71"," 1528"," 1538","0.00","0.0","0.0","  270","  270","17.9","23.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-18","7.61"," 1417"," 1602","0.00","0.0","0.0","  270","  220","17.0","30.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-19","4.03"," 1133"," 1148","0.00","0.0","0.0","  160","  160","15.0","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-20","8.50"," 1224"," 1246","0.00","0.0","0.0","  280","  290","23.0","30.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-21","6.93"," 1138"," 1513","0.00","0.0","0.0","  100","  110","15.0","17.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-22","5.37"," 1528",,"0.07","0.0","0.0","   50",,"11.0",
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-23","13.42"," 2238"," 0902","2.44","0.0","0.0","  360","   90","25.1","36.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-24","11.63"," 0123"," 0009","0.34","0.0","0.0","  360","  360","23.9","32.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-25","6.26"," 1345"," 1341","0.01","0.0","0.0","  180","  190","17.0","23.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-26","12.75"," 0946"," 1035","0.28","0.1","0.0","  350","  350","25.1","33.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-27","6.26"," 1337"," 1336","0.00","0.0","0.0","  170","  180","15.0","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-03-28","10.74"," 1431"," 1340","0.00","0.0","0.0","  160","  160","21.9","30.0"
