Date,PRCP,WSF2,WSF5
2010-05-05,0.0,10.1,16.1
2010-05-06,0.0,31.1,69.1
2010-05-07,0.0,17.0,25.9
2010-05-08,0.01,25.9,35.1
2010-05-09,0.0,25.1,40.0
2010-05-10,0.0,17.0,23.0
2010-05-11,0.1,15.0,36.9
2010-05-12,0.13,19.9,28.0
2010-05-13,0.0,16.1,23.0
2010-05-14,0.0,19.9,25.1
2010-05-15,0.0,19.9,29.1
2010-05-16,0.0,16.1,21.0
2010-05-17,0.27,19.9,23.9
2010-05-18,1.38,19.9,25.1
2010-05-19,0.0,13.0,16.1
2010-05-20,0.0,12.1,16.1
2010-05-21,0.0,10.1,18.1
2010-05-22,0.0,10.1,14.1
2010-05-23,0.0,12.1,16.1
2010-05-24,0.0,13.0,16.1
2010-05-25,0.0,17.0,21.9
2010-05-26,0.0,8.9,17.0
2010-05-27,0.01,23.0,30.0
2010-05-28,0.0,13.0,46.1
2010-05-29,0.0,15.0,35.1
2010-05-30,0.0,16.1,23.9
2010-05-31,0.0,19.9,25.9
2010-06-01,0.08,21.0,28.0
2010-06-02,0.01,13.0,18.1
2010-06-03,0.0,19.9,28.0
2010-06-04,0.0,14.1,30.0
2010-06-05,0.0,16.1,25.9
2010-06-06,0.06,23.0,30.0
2010-06-07,0.0,16.1,87.0
2010-06-08,0.0,13.0,23.0
2010-06-09,0.01,17.0,25.1
2010-06-10,0.0,16.1,57.9
2010-06-11,0.0,15.0,85.0
2010-06-12,0.0,16.1,29.1
2010-06-13,0.13,21.0,32.0
2010-06-14,0.0,13.0,53.0
2010-06-15,0.0,19.9,67.1
2010-06-16,0.0,10.1,19.9
2010-06-17,0.0,18.1,36.9
2010-06-18,0.0,12.1,89.9
2010-06-19,0.0,14.1,21.9
2010-06-20,0.01,2.9,4.9
2010-06-21,0.0,18.1,87.0
2010-06-22,0.42,25.1,89.0
2010-06-23,0.04,18.1,23.0
2010-06-24,0.66,21.9,32.0
2010-06-25,0.0,15.0,19.9
2010-06-26,0.0,15.0,21.9
2010-06-27,0.0,14.1,21.0
2010-06-28,0.62,14.1,18.1
2010-06-29,0.0,12.1,29.1
2010-06-30,0.14,18.1,23.9
2010-07-01,0.0,18.1,31.1
2010-07-02,0.0,16.1,28.0
2010-07-03,0.0,14.1,21.0
2010-07-04,0.0,17.0,51.0
2010-07-05,0.0,31.1,98.0
2010-07-06,0.0,14.1,23.9
2010-07-07,0.0,21.9,61.1
2010-07-08,0.0,16.1,70.0
2010-07-09,0.0,16.1,85.0
2010-07-10,0.0,15.0,42.9
2010-07-11,0.0,21.0,72.0
2010-07-12,0.0,12.1,32.0
2010-07-13,0.0,18.1,32.0
2010-07-14,0.0,19.9,35.1
2010-07-15,0.01,12.1,21.0
2010-07-16,0.0,15.0,46.1
2010-07-17,0.0,18.1,82.1
2010-07-18,0.0,17.0,33.1
2010-07-19,0.0,38.0,91.0
2010-07-20,0.0,25.9,63.1
2010-07-21,0.0,16.1,66.0
2010-07-22,0.0,16.1,31.1
2010-07-23,0.0,17.0,33.1
2010-07-24,0.0,17.0,29.1
2010-07-25,0.0,33.1,49.0
2010-07-26,0.0,15.0,25.9
2010-07-27,0.0,12.1,17.0
2010-07-28,0.0,21.0,28.0
2010-07-29,0.36,16.1,28.0
2010-07-30,0.0,18.1,53.9
2010-07-31,0.0,18.1,69.1
2010-08-01,0.06,13.0,83.0
2010-08-02,0.0,19.9,53.0
2010-08-03,0.0,30.0,84.1
2010-08-04,0.0,15.0,59.1
2010-08-05,0.02,21.9,31.1
2010-08-06,0.0,17.0,61.1
2010-08-07,0.0,8.9,21.9
2010-08-08,0.0,38.0,87.0
2010-08-09,0.0,21.9,89.9
2010-08-10,0.0,17.0,53.0
2010-08-11,0.0,21.0,83.0
2010-08-12,0.0,21.0,25.9
2010-08-13,0.0,15.0,40.0
2010-08-14,0.0,35.1,83.0
2010-08-15,0.0,30.0,91.0
2010-08-16,0.0,16.1,45.0
2010-08-17,0.09,17.0,36.9
2010-08-18,0.02,15.0,18.1
2010-08-19,0.0,14.1,40.0
2010-08-20,0.0,8.9,12.1
2010-08-21,0.0,8.1,12.1
2010-08-22,0.55,17.0,25.1
2010-08-23,0.3,18.1,25.1
2010-08-24,0.01,19.9,23.9
2010-08-25,0.0,15.0,19.9
2010-08-26,0.0,12.1,18.1
2010-08-27,0.0,12.1,15.0
2010-08-28,0.0,12.1,15.0
2010-08-29,0.01,10.1,16.1
2010-08-30,0.0,12.1,21.9
2010-08-31,0.0,10.1,48.1
