Date,PRCP,WSF2,WSF5
2011-01-04,0.0,17.0,21.9
2011-01-05,0.0,17.0,21.9
2011-01-06,0.0,10.1,13.0
2011-01-07,0.32,21.9,29.1
2011-01-08,0.0,16.1,21.0
2011-01-09,0.0,25.9,33.1
2011-01-10,0.0,25.1,35.1
2011-01-11,0.02,14.1,18.1
2011-01-12,0.51,31.1,44.1
2011-01-13,0.0,21.0,29.1
2011-01-14,0.0,17.0,21.9
2011-01-15,0.0,25.9,36.0
2011-01-16,0.0,17.0,23.9
2011-01-17,0.0,17.0,23.0
2011-01-18,0.7,25.1,42.9
2011-01-19,0.0,14.1,18.1
2011-01-20,0.0,18.1,25.1
2011-01-21,0.13,25.9,36.9
2011-01-22,0.0,18.1,21.9
2011-01-23,0.0,23.9,33.1
2011-01-24,0.0,21.0,28.0
2011-01-25,0.01,12.1,15.0
2011-01-26,0.42,25.1,33.1
2011-01-27,0.07,35.1,44.1
2011-01-28,0.0,8.1,10.1
2011-01-29,0.0,13.0,16.1
2011-01-30,0.0,15.0,17.0
2011-01-31,0.0,14.1,18.1
2011-02-01,0.0,17.0,21.9
2011-02-02,0.64,25.1,33.1
2011-02-03,0.0,25.1,33.1
2011-02-04,0.0,21.9,29.1
2011-02-05,0.15,33.1,48.1
2011-02-06,0.0,30.0,40.9
2011-02-07,0.0,2.9,4.9
2011-02-08,0.14,31.1,46.1
2011-02-09,0.0,25.1,35.1
2011-02-10,0.0,21.0,29.1
2011-02-11,0.0,18.1,28.0
2011-02-12,0.0,21.9,30.0
2011-02-13,0.0,21.0,25.9
2011-02-14,0.0,35.1,47.0
2011-02-15,0.0,8.9,12.1
2011-02-16,0.0,16.1,21.0
2011-02-17,0.0,16.1,19.9
2011-02-18,0.0,31.1,40.0
2011-02-19,0.0,38.9,47.0
2011-02-21,0.04,23.0,29.1
2011-02-22,0.0,21.9,28.0
2011-02-23,0.0,21.0,25.1
2011-02-24,0.0,12.1,14.1
2011-02-25,1.38,38.9,48.1
2011-02-26,0.0,21.9,29.1
2011-02-27,0.04,14.1,18.1
2011-02-28,0.5,25.9,36.0
2011-03-01,0.0,23.9,36.0
2011-03-02,0.0,31.1,44.1
2011-03-03,0.0,28.0,36.9
2011-03-04,0.0,18.1,23.0
2011-03-05,0.0,18.1,21.9
2011-03-06,0.02,25.9,33.1
2011-03-07,0.16,35.1,45.0
2011-03-08,0.0,15.0,18.1
2011-03-09,0.0,23.9,31.1
2011-03-10,0.0,25.9,38.9
2011-03-11,0.57,25.9,40.0
2011-03-12,0.0,21.9,29.1
2011-03-13,0.0,23.0,32.0
2011-03-14,0.0,15.0,19.9
2011-03-15,0.0,13.0,15.0
2011-03-16,0.36,21.0,28.0
2011-03-17,0.0,16.1,21.0
2011-03-18,0.0,23.0,35.1
2011-03-19,0.0,25.1,32.0
2011-03-20,0.0,13.0,16.1
2011-03-21,0.15,23.0,29.1
2011-03-22,0.0,23.0,33.1
2011-03-23,0.02,10.1,13.0
2011-03-24,0.01,18.1,23.0
2011-03-25,0.0,21.0,28.0
2011-03-26,0.0,21.9,32.0
2011-03-27,0.0,23.9,31.1
2011-03-28,0.0,23.0,30.0
2011-03-29,0.0,23.0,32.0
2011-03-30,0.0,18.1,23.0
2011-03-31,0.24,21.0,25.9
2011-04-01,0.07,21.9,28.0
2011-04-02,0.0,21.0,29.1
2011-04-03,0.0,29.1,38.0
2011-04-04,0.0,19.9,25.1
2011-04-05,0.03,32.0,38.9
2011-04-06,0.0,23.0,32.0
2011-04-07,0.0,13.0,15.0
2011-04-08,0.0,13.0,16.1
2011-04-09,0.0,12.1,13.0
2011-04-10,0.0,15.0,16.1
2011-04-11,0.0,18.1,21.9
2011-04-12,0.1,23.0,31.1
2011-04-13,0.82,35.1,51.0
2011-04-14,0.0,19.9,25.9
2011-04-15,0.0,19.9,25.9
2011-04-16,0.41,31.1,42.9
2011-04-17,0.78,36.9,45.0
2011-04-18,0.0,25.1,36.9
2011-04-19,0.01,15.0,18.1
2011-04-20,0.0,16.1,28.0
2011-04-21,0.0,31.1,40.0
2011-04-22,0.0,15.0,17.0
2011-04-23,0.78,23.0,31.1
2011-04-24,0.05,14.1,29.1
2011-04-25,0.01,16.1,28.0
2011-04-26,0.0,14.1,29.1
2011-04-27,0.0,19.9,25.9
2011-04-28,0.26,32.0,40.0
2011-04-29,0.0,21.0,30.0
2011-04-30,0.0,16.1,21.0
2011-05-01,0.0,17.0,21.0
2011-05-02,0.0,12.1,18.1
2011-05-03,0.0,17.0,25.9
2011-05-04,0.31,17.0,21.9
2011-05-05,0.0,23.0,31.1
2011-05-06,0.0,15.0,19.9
2011-05-07,0.01,19.9,28.0
2011-05-08,0.08,17.0,32.0
2011-05-09,0.0,23.9,32.0
2011-05-10,0.0,25.9,36.9
2011-05-11,0.0,23.9,32.0
2011-05-12,0.0,19.9,25.1
2011-05-13,0.0,12.1,14.1
2011-05-14,0.0,10.1,14.1
2011-05-15,0.04,15.0,30.0
2011-05-16,0.23,18.1,23.0
2011-05-17,2.26,19.9,25.1
2011-05-18,0.12,21.9,30.0
2011-05-19,0.09,16.1,19.9
2011-05-20,0.0,12.1,15.0
2011-05-21,0.0,12.1,25.9
2011-05-22,0.0,16.1,19.9
2011-05-23,0.09,23.9,29.1
2011-05-24,0.34,21.0,25.1
2011-05-25,0.0,14.1,17.0
2011-05-26,0.0,12.1,15.0
2011-05-27,0.01,10.1,13.0
2011-05-28,0.0,15.0,17.0
2011-05-29,0.0,10.1,13.0
2011-05-30,0.0,13.0,16.1
2011-05-31,0.0,16.1,19.9
2011-06-01,0.0,18.1,23.0
2011-06-02,,29.1,38.9
2011-06-03,0.0,23.9,33.1
2011-06-04,0.0,25.1,32.0
2011-06-05,0.0,12.1,62.0
2011-06-06,0.0,15.0,21.0
2011-06-07,0.0,14.1,18.1
2011-06-08,0.1,21.9,29.1
2011-06-09,0.39,35.1,49.0
2011-06-10,0.0,21.9,25.1
2011-06-11,0.95,23.9,36.0
2011-06-12,0.62,17.0,21.0
2011-06-13,0.02,13.0,15.0
2011-06-14,0.23,12.1,15.0
2011-06-15,0.0,17.0,23.0
2011-06-16,0.0,15.0,18.1
2011-06-17,0.59,19.9,23.9
2011-06-18,0.0,14.1,17.0
2011-06-19,0.0,15.0,19.9
2011-06-20,0.0,13.0,15.0
2011-06-21,0.0,13.0,14.1
2011-06-22,0.26,15.0,18.1
2011-06-23,1.78,17.0,21.0
2011-06-24,0.0,15.0,18.1
2011-06-25,0.0,15.0,18.1
2011-06-26,0.0,12.1,17.0
2011-06-27,0.0,12.1,13.0
2011-06-28,0.0,12.1,13.0
2011-06-29,0.0,18.1,25.9
2011-06-30,0.0,18.1,25.1
2011-07-01,0.0,13.0,15.0
2011-07-02,0.0,35.1,84.1
2011-07-03,0.26,33.1,83.0
2011-07-04,0.0,16.1,18.1
2011-07-05,0.0,16.1,19.9
2011-07-06,0.0,12.1,16.1
2011-07-07,0.0,10.1,12.1
2011-07-08,0.56,17.0,25.1
2011-07-09,0.09,15.0,23.0
2011-07-10,0.0,10.1,19.9
2011-07-11,0.0,17.0,23.9
2011-07-12,0.16,17.0,23.0
2011-07-13,0.41,23.0,49.0
2011-07-14,0.0,21.0,25.9
2011-07-15,0.0,14.1,17.0
2011-07-16,0.0,14.1,16.1
2011-07-17,0.0,16.1,21.9
2011-07-18,0.0,15.0,21.9
2011-07-19,0.0,12.1,29.1
2011-07-20,0.0,15.0,29.1
2011-07-21,0.0,19.9,23.9
2011-07-22,0.0,14.1,21.0
2011-07-23,0.0,13.0,18.1
2011-07-24,0.04,14.1,18.1
2011-07-25,0.01,13.0,16.1
2011-07-26,0.65,23.9,30.0
2011-07-27,0.0,15.0,18.1
2011-07-28,0.0,10.1,12.1
2011-07-29,0.01,14.1,40.0
2011-07-30,0.0,18.1,30.0
2011-07-31,0.0,13.0,19.9
2011-08-01,0.0,23.0,25.9
2011-08-02,0.0,16.1,23.9
2011-08-03,0.0,13.0,16.1
2011-08-04,0.0,13.0,19.9
2011-08-05,0.0,10.1,14.1
2011-08-06,0.0,15.0,29.1
2011-08-07,0.87,21.9,28.0
2011-08-08,0.0,17.0,19.9
2011-08-09,0.39,21.0,28.0
2011-08-10,0.0,18.1,23.9
2011-08-11,0.0,17.0,21.9
2011-08-12,0.0,17.0,21.0
2011-08-13,0.0,8.9,19.9
2011-08-14,1.06,16.1,21.9
2011-08-15,2.61,16.1,19.9
2011-08-16,0.0,16.1,21.0
2011-08-17,0.0,10.1,38.0
2011-08-18,0.0,14.1,18.1
2011-08-19,0.0,14.1,29.1
2011-08-20,0.0,12.1,14.1
2011-08-21,0.1,15.0,19.9
2011-08-22,0.02,21.9,28.0
2011-08-23,0.0,15.0,19.9
2011-08-24,0.0,18.1,21.9
2011-08-25,0.0,21.0,25.1
2011-08-26,0.0,13.0,15.0
2011-08-27,0.35,25.9,38.0
2011-08-28,0.0,47.0,57.9
2011-08-29,0.0,17.0,25.1
2011-08-30,0.0,13.0,14.1
2011-08-31,0.0,28.0,55.9
2011-09-01,0.0,12.1,16.1
2011-09-02,0.0,12.1,14.1
2011-09-03,0.0,16.1,21.0
2011-09-04,0.0,18.1,23.0
2011-09-05,0.0,15.0,18.1
2011-09-06,1.65,28.0,35.1
2011-09-07,1.05,16.1,21.9
2011-09-08,2.11,18.1,23.9
2011-09-09,0.0,17.0,23.0
2011-09-10,0.0,17.0,21.9
2011-09-11,0.0,16.1,21.0
2011-09-12,0.0,14.1,16.1
2011-09-13,0.0,16.1,21.0
2011-09-14,0.0,12.1,15.0
2011-09-15,0.01,29.1,38.0
2011-09-16,0.0,16.1,21.9
2011-09-17,0.0,14.1,19.9
2011-09-18,0.0,19.9,23.9
2011-09-19,0.0,13.0,17.0
2011-09-20,0.0,18.1,23.0
2011-09-21,0.0,13.0,15.0
2011-09-22,0.0,10.1,14.1
2011-09-23,0.19,15.0,18.1
2011-09-24,0.0,15.0,19.9
2011-09-25,,10.1,12.1
2011-09-26,0.0,10.1,12.1
2011-09-27,0.0,12.1,13.0
2011-09-28,0.0,21.9,29.1
2011-09-29,0.0,23.0,28.0
2011-09-30,0.0,18.1,23.0
2011-10-01,0.0,15.0,19.9
2011-10-02,0.0,16.1,23.0
2011-10-03,0.0,16.1,19.9
2011-10-04,0.0,17.0,21.9
2011-10-05,0.01,25.1,31.1
2011-10-06,0.0,18.1,23.9
2011-10-07,0.0,12.1,16.1
2011-10-08,0.0,17.0,19.9
2011-10-09,0.0,14.1,18.1
2011-10-10,0.0,13.0,16.1
2011-10-11,0.0,14.1,15.0
2011-10-12,0.01,18.1,21.9
2011-10-13,0.18,18.1,25.1
2011-10-14,0.64,25.1,33.1
2011-10-15,0.0,25.9,36.0
2011-10-16,0.0,25.1,38.0
2011-10-17,0.0,21.9,30.0
2011-10-18,0.0,17.0,23.0
