Date,PRCP,WSF2,WSF5
2010-05-20,0.0,12.1,17.0
2010-05-21,0.0,14.1,19.9
2010-05-22,0.0,14.1,18.1
2010-05-23,0.0,14.1,17.0
2010-05-24,0.0,12.1,16.1
2010-05-25,0.01,10.1,15.0
2010-05-26,0.0,21.0,25.9
2010-05-27,0.06,30.0,38.0
2010-05-28,0.0,12.1,17.0
2010-05-29,0.0,14.1,19.9
2010-05-30,0.0,15.0,23.9
2010-05-31,0.0,19.9,28.0
2010-06-01,0.05,14.1,19.9
2010-06-02,0.0,12.1,15.0
2010-06-03,0.0,8.9,13.0
2010-06-04,0.0,10.1,15.0
2010-06-05,0.08,15.0,21.9
2010-06-06,0.11,21.0,36.0
2010-06-07,0.0,14.1,21.9
2010-06-08,0.0,17.0,23.9
2010-06-09,0.49,17.0,23.9
2010-06-10,0.58,21.9,31.1
2010-06-11,0.0,14.1,17.0
2010-06-12,0.04,12.1,19.9
2010-06-13,0.1,12.1,28.0
2010-06-14,0.0,12.1,23.9
2010-06-15,0.0,16.1,21.9
2010-06-16,0.0,13.0,16.1
2010-06-17,0.07,19.9,28.0
2010-06-18,0.0,12.1,16.1
2010-06-19,0.0,13.0,23.9
2010-06-20,0.0,14.1,19.9
2010-06-21,0.0,12.1,17.0
2010-06-22,0.61,14.1,18.1
2010-06-23,0.0,12.1,16.1
2010-06-24,0.31,21.0,40.9
2010-06-25,0.0,13.0,16.1
2010-06-26,0.0,12.1,14.1
2010-06-27,0.01,8.9,17.0
2010-06-28,0.74,21.9,40.9
2010-06-29,0.0,17.0,23.0
2010-06-30,0.0,15.0,23.9
2010-07-01,0.0,14.1,23.0
2010-07-02,0.0,15.0,21.9
2010-07-03,0.0,12.1,16.1
2010-07-04,0.0,10.1,15.0
2010-07-05,0.0,12.1,17.0
2010-07-06,0.0,12.1,15.0
2010-07-07,0.0,16.1,19.9
2010-07-08,0.0,14.1,18.1
2010-07-09,0.0,14.1,23.0
2010-07-10,0.01,10.1,25.1
2010-07-11,0.0,14.1,16.1
2010-07-12,0.0,16.1,23.0
2010-07-13,1.65,18.1,23.9
2010-07-14,0.35,13.0,38.9
2010-07-15,0.0,15.0,21.9
2010-07-16,0.0,14.1,18.1
2010-07-17,0.0,14.1,21.9
2010-07-18,0.0,14.1,21.0
2010-07-19,0.53,17.0,53.9
2010-07-20,0.0,13.0,16.1
2010-07-21,0.21,16.1,21.9
2010-07-22,0.0,15.0,25.9
2010-07-23,0.12,13.0,17.0
2010-07-24,0.02,12.1,28.0
2010-07-25,0.21,13.0,18.1
2010-07-26,0.0,15.0,25.9
2010-07-27,0.0,12.1,18.1
2010-07-28,0.0,15.0,21.0
2010-07-29,0.02,12.1,17.0
2010-07-30,0.0,12.1,23.0
2010-07-31,0.0,16.1,21.0
2010-08-01,0.0,17.0,21.9
2010-08-02,0.0,15.0,184.1
2010-08-03,0.0,14.1,21.0
2010-08-04,0.0,12.1,23.0
2010-08-05,0.01,15.0,25.9
2010-08-06,0.0,17.0,23.9
2010-08-07,0.0,13.0,16.1
2010-08-08,0.0,15.0,19.9
2010-08-09,0.0,15.0,21.0
2010-08-10,0.22,10.1,29.1
2010-08-11,0.0,16.1,21.9
2010-08-12,0.0,14.1,53.0
2010-08-13,0.0,15.0,18.1
2010-08-14,0.0,13.0,25.9
2010-08-15,0.04,15.0,18.1
2010-08-16,0.37,14.1,21.9
2010-08-17,0.0,8.9,16.1
2010-08-18,0.0,10.1,29.1
2010-08-19,0.0,10.1,13.0
2010-08-20,0.0,17.0,21.0
2010-08-21,0.0,13.0,21.9
2010-08-22,2.25,25.9,36.9
2010-08-23,0.32,25.1,33.1
2010-08-24,0.1,25.1,36.9
2010-08-25,0.01,19.9,25.1
2010-08-26,0.13,10.1,18.1
2010-08-27,0.0,14.1,18.1
2010-08-28,0.0,12.1,17.0
2010-08-29,0.0,10.1,15.0
2010-08-30,0.0,10.1,23.0
2010-08-31,0.0,14.1,21.0
2010-09-01,0.0,8.9,14.1
2010-09-02,0.0,13.0,17.0
2010-09-03,0.08,14.1,19.9
2010-09-04,0.0,16.1,28.0
2010-09-05,0.0,16.1,21.9
2010-09-06,0.0,12.1,17.0
2010-09-07,0.0,15.0,21.0
2010-09-08,0.0,16.1,29.1
2010-09-09,0.0,15.0,23.9
2010-09-10,0.0,16.1,25.1
2010-09-11,0.0,18.1,23.0
2010-09-12,0.0,16.1,25.1
2010-09-13,0.05,13.0,16.1
2010-09-14,0.0,14.1,23.0
2010-09-15,0.0,15.0,25.1
2010-09-16,0.55,19.9,25.9
2010-09-17,0.0,18.1,23.0
2010-09-18,0.0,13.0,16.1
2010-09-19,0.0,12.1,14.1
2010-09-20,0.0,23.9,31.1
2010-09-21,0.0,15.0,23.0
2010-09-22,0.04,14.1,23.0
2010-09-23,0.0,14.1,17.0
2010-09-24,0.0,8.9,15.0
2010-09-25,0.0,17.0,23.9
2010-09-26,0.0,16.1,21.0
2010-09-27,0.26,16.1,21.0
2010-09-28,0.01,17.0,23.0
2010-09-29,0.0,12.1,15.0
2010-09-30,0.69,23.9,32.0
2010-10-01,1.04,30.0,38.9
2010-10-02,0.0,12.1,21.9
2010-10-03,0.01,19.9,25.9
2010-10-04,0.16,21.9,25.9
2010-10-05,0.07,13.0,18.1
2010-10-06,0.18,13.0,19.9
2010-10-07,0.0,18.1,29.1
2010-10-08,0.0,16.1,25.9
2010-10-09,0.0,17.0,25.1
2010-10-10,0.0,14.1,23.0
2010-10-11,0.0,13.0,16.1
2010-10-12,0.01,12.1,15.0
2010-10-13,0.0,14.1,16.1
2010-10-14,1.27,18.1,23.9
2010-10-15,0.24,18.1,32.0
2010-10-16,0.0,23.9,42.9
2010-10-17,0.0,14.1,23.9
2010-10-18,0.0,10.1,16.1
2010-10-19,0.0,12.1,15.0
2010-10-20,0.0,10.1,16.1
2010-10-21,0.06,15.0,25.1
2010-10-22,0.0,14.1,29.1
2010-10-23,0.0,13.0,23.0
2010-10-24,0.01,13.0,18.1
2010-10-25,0.0,13.0,18.1
2010-10-26,0.0,13.0,19.9
2010-10-27,0.13,15.0,21.0
2010-10-28,0.0,18.1,25.1
2010-10-29,0.0,14.1,25.1
2010-10-30,0.0,21.0,35.1
2010-10-31,0.0,19.9,30.0
2010-11-01,0.0,14.1,25.9
2010-11-02,0.0,13.0,21.9
2010-11-03,0.0,13.0,16.1
2010-11-04,0.93,21.9,28.0
2010-11-05,0.26,12.1,18.1
2010-11-06,0.0,17.0,21.9
2010-11-07,0.0,19.9,28.0
2010-11-08,0.27,21.9,36.9
2010-11-09,0.0,21.0,29.1
2010-11-10,0.0,23.9,35.1
2010-11-11,0.0,19.9,25.1
2010-11-12,0.0,18.1,23.9
2010-11-13,0.0,15.0,18.1
2010-11-14,0.0,12.1,16.1
2010-11-15,0.0,13.0,15.0
2010-11-16,0.21,21.9,29.1
2010-11-17,0.72,23.9,40.0
