Date,PRCP,WSF2,WSF5
2010-08-16,0.15,14.1,21.0
2010-08-17,0.0,11.0,19.9
2010-08-18,0.0,16.1,21.9
2010-08-19,0.0,11.0,
2010-08-20,0.0,16.1,25.1
2010-08-21,0.0,11.0,
2010-08-22,0.03,10.1,
2010-08-23,0.07,15.0,21.0
2010-08-24,0.0,19.9,23.9
2010-08-25,2.64,21.9,29.1
2010-08-26,0.0,14.1,19.9
2010-08-27,0.0,10.1,
2010-08-28,0.0,8.1,21.9
2010-08-29,0.0,15.0,25.1
2010-08-30,0.0,14.1,
2010-08-31,0.0,13.0,19.9
2010-09-01,0.0,15.0,
2010-09-02,0.0,16.1,23.9
2010-09-03,0.26,15.0,21.9
2010-09-04,0.87,19.9,33.1
2010-09-05,0.0,23.0,29.1
2010-09-06,0.0,21.9,31.1
2010-09-07,0.0,10.1,
2010-09-08,0.08,23.0,29.1
2010-09-09,0.13,21.0,25.1
2010-09-10,0.0,17.9,23.9
2010-09-11,0.0,17.0,21.0
2010-09-12,0.0,17.0,21.9
2010-09-13,0.01,8.1,
2010-09-14,0.0,11.0,17.0
2010-09-15,0.0,23.0,29.1
2010-09-16,0.29,16.1,25.1
2010-09-17,0.04,17.0,17.0
2010-09-18,0.0,8.1,
2010-09-19,0.0,8.9,
2010-09-20,0.0,23.0,28.0
2010-09-21,0.0,16.1,21.0
2010-09-22,0.0,19.9,28.0
2010-09-23,0.0,12.1,16.1
2010-09-24,0.16,16.1,23.0
2010-09-25,0.0,23.0,29.1
2010-09-26,0.03,17.9,23.0
2010-09-27,0.12,12.1,15.0
2010-09-28,0.28,17.0,25.1
2010-09-29,0.0,19.9,25.9
2010-09-30,0.03,21.0,33.1
2010-10-01,0.74,21.9,36.0
2010-10-02,0.0,17.9,28.0
2010-10-03,0.0,13.0,16.1
2010-10-04,0.0,17.9,25.1
2010-10-05,0.0,14.1,17.9
2010-10-06,1.57,31.1,38.9
2010-10-07,0.01,25.9,33.1
2010-10-08,0.0,23.0,33.1
2010-10-09,0.0,23.0,32.0
2010-10-10,0.0,19.9,23.9
2010-10-11,0.0,17.0,23.0
2010-10-12,0.0,8.9,
2010-10-13,0.0,12.1,15.0
2010-10-14,0.0,16.1,21.9
2010-10-15,3.51,40.0,48.1
2010-10-16,0.0,25.9,38.0
